label     ,  Mbh  , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
Cygnus A  ,  9.39 , 0.13 , -0.13 , 2.43 , 0.0414 , 0.0458 
IC 4296   ,  9.10 , 0.09 , -0.09 , 2.52 , 0.0414 , 0.0458 
NGC 1275  ,  8.88 , 0.21 , -0.21 , 2.39 , 0.0414 , 0.0458 
NGC 1399  ,  8.67 , 0.06 , -0.06 , 2.52 , 0.0414 , 0.0458 
NGC 3842  ,  9.94 , 0.13 , -0.13 , 2.49 , 0.0414 , 0.0458 
NGC 4472  ,  9.36 , 0.04 , -0.04 , 2.45 , 0.0414 , 0.0458 
NGC 4486  ,  9.81 , 0.06 , -0.06 , 2.51 , 0.0414 , 0.0458 
NGC 4889  , 10.30 , 0.44 , -0.44 , 2.59 , 0.0414 , 0.0458 
NGC 5419  ,  9.87 , 0.14 , -0.14 , 2.54 , 0.0414 , 0.0458 
NGC 6086  ,  9.57 , 0.17 , -0.17 , 2.51 , 0.0414 , 0.0458 
NGC 7768  ,  9.09 , 0.15 , -0.15 , 2.46 , 0.0414 , 0.0458 
A1836-BCG ,  9.59 , 0.06 , -0.06 , 2.49 , 0.0414 , 0.0458 
NGC 3258  ,  9.35 , 0.05 , -0.05 , 2.41 , 0.0414 , 0.0458 
