label    ,  Mbh  , dMbh_pos,dMbh_neg, Sig, dSig_pos, dSig_neg
IC 1459  ,  9.38 , 0.20 , 0.20 ,  2.47 , 0.0414 , 0.0458
NGC 1407 ,  9.65 , 0.08 , 0.08 ,  2.42 , 0.0414 , 0.0458
NGC 1600 , 10.25 , 0.04 , 0.04 ,  2.52 , 0.0414 , 0.0458
NGC 3608 ,  8.30 , 0.17 , 0.17 ,  2.29 , 0.0414 , 0.0458
NGC 3923 ,  9.47 , 0.13 , 0.13 ,  2.39 , 0.0414 , 0.0458
NGC 4261 ,  9.20 , 0.09 , 0.09 ,  2.47 , 0.0414 , 0.0458
NGC 4374 ,  8.95 , 0.05 , 0.05 ,  2.44 , 0.0414 , 0.0458
NGC 5077 ,  8.85 , 0.23 , 0.23 ,  2.40 , 0.0414 , 0.0458
NGC 5328 ,  9.67 , 0.15 , 0.15 ,  2.50 , 0.0414 , 0.0458
NGC 5516 ,  9.52 , 0.06 , 0.06 ,  2.49 , 0.0414 , 0.0458
NGC 5576 ,  8.19 , 0.10 , 0.10 ,  2.26 , 0.0414 , 0.0458
NGC 5846 ,  9.04 , 0.06 , 0.06 ,  2.38 , 0.0414 , 0.0458
NGC 6251 ,  8.77 , 0.16 , 0.16 ,  2.49 , 0.0414 , 0.0458
NGC 7052 ,  9.35 , 0.05 , 0.05 ,  2.45 , 0.0414 , 0.0458
NGC 7619 ,  9.36 , 0.09 , 0.09 ,  2.50 , 0.0414 , 0.0458
NGC 1550 ,  9.57 , 0.06 , 0.06 ,  2.48 , 0.0414 , 0.0458
