label    ,  Mbh, dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
Circinus , 6.25, 0.11 , -0.11 , 2.17, 0.0414 , 0.0458
IC 2560  , 6.52, 0.11 , -0.11 , 2.14, 0.0414 , 0.0458
M31      , 8.15, 0.16 , -0.16 , 2.19, 0.0414 , 0.0458
NGC 0253 , 7.00, 0.30 , -0.30 , 1.98, 0.0414 , 0.0458
NGC 1068 , 6.75, 0.08 , -0.08 , 2.21, 0.0414 , 0.0458
NGC 1097 , 8.38, 0.04 , -0.04 , 2.29, 0.0414 , 0.0458
NGC 1300 , 7.86, 0.14 , -0.14 , 2.34, 0.0414 , 0.0458
NGC 1320 , 6.77, 0.22 , -0.22 , 2.04, 0.0414 , 0.0458
NGC 1365 , 6.60, 0.30 , -0.30 , 2.15, 0.0414 , 0.0458
NGC 1398 , 8.03, 0.11 , -0.11 , 2.29, 0.0414 , 0.0458
NGC 1566 , 7.23, 0.30 , -0.30 , 1.99, 0.0414 , 0.0458
NGC 1672 , 7.84, 0.10 , -0.10 , 2.04, 0.0414 , 0.0458
NGC 2273 , 6.95, 0.06 , -0.06 , 2.15, 0.0414 , 0.0458
NGC 2960 , 7.07, 0.05 , -0.05 , 2.22, 0.0414 , 0.0458
NGC 3031 , 7.83, 0.09 , -0.09 , 2.18, 0.0414 , 0.0458
NGC 3079 , 6.38, 0.12 , -0.12 , 2.24, 0.0414 , 0.0458
NGC 3227 , 7.97, 0.14 , -0.14 , 2.10, 0.0414 , 0.0458
NGC 3368 , 6.89, 0.11 , -0.11 , 2.07, 0.0414 , 0.0458
NGC 3393 , 7.49, 0.05 , -0.16 , 2.30, 0.0414 , 0.0458
NGC 3504 , 7.32, 0.07 , -0.07 , 2.08, 0.0414 , 0.0458
NGC 3627 , 6.94, 0.09 , -0.09 , 2.10, 0.0414 , 0.0458
NGC 4151 , 7.69, 0.37 , -0.37 , 1.96, 0.0414 , 0.0458
NGC 4258 , 7.60, 0.01 , -0.01 , 2.12, 0.0414 , 0.0458
NGC 4303 , 6.78, 0.17 , -0.17 , 1.98, 0.0414 , 0.0458
NGC 4388 , 6.90, 0.10 , -0.10 , 2.00, 0.0414 , 0.0458
NGC 4501 , 7.31, 0.08 , -0.08 , 2.22, 0.0414 , 0.0458
NGC 4699 , 8.27, 0.09 , -0.09 , 2.28, 0.0414 , 0.0458
NGC 4736 , 6.83, 0.11 , -0.11 , 2.03, 0.0414 , 0.0458
NGC 4826 , 6.18, 0.12 , -0.12 , 1.99, 0.0414 , 0.0458
NGC 4945 , 6.13, 0.30 , -0.30 , 2.07, 0.0414 , 0.0458
NGC 5495 , 7.04, 0.08 , -0.09 , 2.22, 0.0414 , 0.0458
NGC 5765b, 7.72, 0.05 , -0.05 , 2.21, 0.0414 , 0.0458
NGC 6264 , 7.51, 0.06 , -0.06 , 2.20, 0.0414 , 0.0458
NGC 6323 , 7.02, 0.13 , -0.14 , 2.20, 0.0414 , 0.0458
NGC 7582 , 7.72, 0.12 , -0.12 , 2.07, 0.0414 , 0.0458
UGC 3789 , 7.07, 0.05 , -0.05 , 2.03, 0.0414 , 0.0458
UGC 6093 , 7.41, 0.04 , -0.03 , 2.19, 0.0414 , 0.0458
Milky Way, 6.60, 0.02 , -0.02 , 2.02, 0.0414 , 0.0458
ESO 558  , 7.26, 0.04 , -0.04 , 2.23, 0.0414 , 0.0458
J0437    , 6.51, 0.05 , -0.05 , 2.04, 0.0414 , 0.0458
NGC 0613 , 7.66, 0.15 , -0.15 , 2.09, 0.0414 , 0.0458
