label     ,  Mbh  , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
NGC 1023  ,  7.62 , 0.05 , 0.05 , 2.29 , 0.0414 , 0.0458
NGC 1374  ,  8.76 , 0.05 , 0.05 , 2.25 , 0.0414 , 0.0458
NGC 2549  ,  7.15 , 0.60 , 0.60 , 2.15 , 0.0414 , 0.0458
NGC 2778  ,  7.18 , 0.35 , 0.35 , 2.19 , 0.0414 , 0.0458
NGC 3384  ,  7.23 , 0.05 , 0.05 , 2.16 , 0.0414 , 0.0458
NGC 4339  ,  7.62 , 0.33 , 0.33 , 2.05 , 0.0414 , 0.0458
NGC 4342  ,  8.65 , 0.18 , 0.18 , 2.38 , 0.0414 , 0.0458
NGC 4434  ,  7.85 , 0.17 , 0.17 , 2.07 , 0.0414 , 0.0458
NGC 4564  ,  7.77 , 0.06 , 0.06 , 2.19 , 0.0414 , 0.0458
NGC 4570  ,  7.83 , 0.14 , 0.14 , 2.32 , 0.0414 , 0.0458
NGC 4578  ,  7.28 , 0.35 , 0.35 , 2.05 , 0.0414 , 0.0458
NGC 4742  ,  7.13 , 0.18 , 0.18 , 2.01 , 0.0414 , 0.0458
NGC 4762  ,  7.24 , 0.14 , 0.14 , 2.15 , 0.0414 , 0.0458
NGC 7332  ,  7.06 , 0.20 , 0.20 , 2.11 , 0.0414 , 0.0458
NGC 0307  ,  8.34 , 0.13 , 0.13 , 2.43 , 0.0414 , 0.0458
NGC 3706  ,  8.70 , 0.06 , 0.06 , 2.41 , 0.0414 , 0.0458
