label    , Mbh  , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
NGC 0524 , 9.00 , 0.10 , 0.10 , 2.37 , 0.0414 , 0.0458
NGC 1194 , 7.82 , 0.04 , 0.04 , 2.17 , 0.0414 , 0.0458
NGC 1316 , 8.16 , 0.29 , 0.29 , 2.35 , 0.0414 , 0.0458
NGC 2974 , 8.23 , 0.07 , 0.07 , 2.37 , 0.0414 , 0.0458
NGC 3115 , 8.94 , 0.25 , 0.25 , 2.42 , 0.0414 , 0.0458
NGC 3489 , 6.76 , 0.07 , 0.07 , 2.02 , 0.0414 , 0.0458
NGC 3665 , 8.76 , 0.10 , 0.10 , 2.33 , 0.0414 , 0.0458
NGC 4281 , 8.73 , 0.08 , 0.08 , 2.50 , 0.0414 , 0.0458
NGC 4429 , 8.18 , 0.08 , 0.08 , 2.24 , 0.0414 , 0.0458
NGC 4459 , 7.82 , 0.10 , 0.10 , 2.24 , 0.0414 , 0.0458
NGC 4526 , 8.65 , 0.04 , 0.04 , 2.35 , 0.0414 , 0.0458
NGC 4594 , 8.81 , 0.03 , 0.03 , 2.35 , 0.0414 , 0.0458
NGC 4596 , 7.90 , 0.20 , 0.20 , 2.15 , 0.0414 , 0.0458
NGC 4751 , 9.15 , 0.05 , 0.05 , 2.54 , 0.0414 , 0.0458
NGC 5018 , 8.00 , 0.08 , 0.08 , 2.33 , 0.0414 , 0.0458
NGC 5128 , 7.65 , 0.12 , 0.12 , 2.01 , 0.0414 , 0.0458
NGC 5252 , 9.03 , 0.40 , 0.40 , 2.27 , 0.0414 , 0.0458
NGC 6861 , 9.30 , 0.08 , 0.08 , 2.59 , 0.0414 , 0.0458
NGC 7049 , 8.51 , 0.12 , 0.12 , 2.42 , 0.0414 , 0.0458
Mrk 1029 , 6.33 , 0.10 , 0.13 , 2.12 , 0.0414 , 0.0458
NGC 3091 , 9.62 , 0.08 , 0.08 , 2.49 , 0.0414 , 0.0458
NGC 3640 , 7.89 , 0.34 , 0.34 , 2.24 , 0.0414 , 0.0458
NGC 4649 , 9.66 , 0.10 , 0.10 , 2.52 , 0.0414 , 0.0458
