label     ,  Mbh  , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
NGC 1332 , 9.15 , 0.07 , 0.07 , 2.47 , 0.0414 , 0.0458
NGC 2787 , 7.59 , 0.09 , 0.09 , 2.28 , 0.0414 , 0.0458
NGC 3245 , 8.30 , 0.12 , 0.12 , 2.32 , 0.0414 , 0.0458
NGC 3379 , 8.62 , 0.13 , 0.13 , 2.31 , 0.0414 , 0.0458
NGC 3998 , 8.33 , 0.43 , 0.43 , 2.42 , 0.0414 , 0.0458
NGC 4026 , 8.26 , 0.12 , 0.12 , 2.24 , 0.0414 , 0.0458
NGC 4350 , 8.87 , 0.41 , 0.41 , 2.26 , 0.0414 , 0.0458
NGC 4371 , 6.84 , 0.12 , 0.12 , 2.11 , 0.0414 , 0.0458
NGC 4697 , 8.26 , 0.04 , 0.04 , 2.22 , 0.0414 , 0.0458
NGC 5813 , 8.83 , 0.06 , 0.06 , 2.37 , 0.0414 , 0.0458
NGC 5845 , 8.41 , 0.22 , 0.22 , 2.36 , 0.0414 , 0.0458
NGC 2784 , 8.00 , 0.31 , 0.31 , 2.39 , 0.0414 , 0.0458
