label,Mbh,dMbh,Sig,dSig_pos,dSig_neg
NGC 0524 , 9.00 , 0.10 , 2.37 , 0.0414 , 0.0458
NGC 1194 , 7.82 , 0.04 , 2.17 , 0.0414 , 0.0458
NGC 1316 , 8.16 , 0.29 , 2.35 , 0.0414 , 0.0458
NGC 2974 , 8.23 , 0.07 , 2.37 , 0.0414 , 0.0458
NGC 3115 , 8.94 , 0.25 , 2.42 , 0.0414 , 0.0458
NGC 3489 , 6.76 , 0.07 , 2.02 , 0.0414 , 0.0458
NGC 3665 , 8.76 , 0.10 , 2.33 , 0.0414 , 0.0458
NGC 4281 , 8.73 , 0.08 , 2.50 , 0.0414 , 0.0458
NGC 4429 , 8.18 , 0.08 , 2.24 , 0.0414 , 0.0458
NGC 4459 , 7.82 , 0.10 , 2.24 , 0.0414 , 0.0458
NGC 4526 , 8.65 , 0.04 , 2.35 , 0.0414 , 0.0458
NGC 4594 , 8.81 , 0.03 , 2.35 , 0.0414 , 0.0458
NGC 4596 , 7.90 , 0.20 , 2.15 , 0.0414 , 0.0458
NGC 4751 , 9.15 , 0.05 , 2.54 , 0.0414 , 0.0458
NGC 5018 , 8.00 , 0.08 , 2.33 , 0.0414 , 0.0458
NGC 5128 , 7.65 , 0.12 , 2.01 , 0.0414 , 0.0458
NGC 5252 , 9.03 , 0.40 , 2.27 , 0.0414 , 0.0458
NGC 6861 , 9.30 , 0.08 , 2.59 , 0.0414 , 0.0458
NGC 7049 , 8.51 , 0.12 , 2.42 , 0.0414 , 0.0458
Mrk 1029 , 6.33 , 0.10 , 2.12 , 0.0414 , 0.0458
NGC 3091 , 9.62 , 0.08 , 2.49 , 0.0414 , 0.0458
NGC 3640 , 7.89 , 0.34 , 2.24 , 0.0414 , 0.0458
NGC 4649 , 9.66 , 0.10 , 2.52 , 0.0414 , 0.0458
NGC 1332 , 9.15 , 0.07 , 2.47 , 0.0414 , 0.0458
NGC 2787 , 7.59 , 0.09 , 2.28 , 0.0414 , 0.0458
NGC 3245 , 8.30 , 0.12 , 2.32 , 0.0414 , 0.0458
NGC 3379 , 8.62 , 0.13 , 2.31 , 0.0414 , 0.0458
NGC 3998 , 8.33 , 0.43 , 2.42 , 0.0414 , 0.0458
NGC 4026 , 8.26 , 0.12 , 2.24 , 0.0414 , 0.0458
NGC 4350 , 8.87 , 0.41 , 2.26 , 0.0414 , 0.0458
NGC 4371 , 6.84 , 0.12 , 2.11 , 0.0414 , 0.0458
NGC 4697 , 8.26 , 0.04 , 2.22 , 0.0414 , 0.0458
NGC 5813 , 8.83 , 0.06 , 2.37 , 0.0414 , 0.0458
NGC 5845 , 8.41 , 0.22 , 2.36 , 0.0414 , 0.0458
NGC 2784 , 8.00 , 0.31 , 2.39 , 0.0414 , 0.0458
NGC 1023 , 7.62 , 0.05 , 2.29 , 0.0414 , 0.0458
NGC 1374 , 8.76 , 0.05 , 2.25 , 0.0414 , 0.0458
NGC 2549 , 7.15 , 0.60 , 2.15 , 0.0414 , 0.0458
NGC 2778 , 7.18 , 0.35 , 2.19 , 0.0414 , 0.0458
NGC 3384 , 7.23 , 0.05 , 2.16 , 0.0414 , 0.0458
NGC 4339 , 7.62 , 0.33 , 2.05 , 0.0414 , 0.0458
NGC 4342 , 8.65 , 0.18 , 2.38 , 0.0414 , 0.0458
NGC 4434 , 7.85 , 0.17 , 2.07 , 0.0414 , 0.0458
NGC 4564 , 7.77 , 0.06 , 2.19 , 0.0414 , 0.0458
NGC 4570 , 7.83 , 0.14 , 2.32 , 0.0414 , 0.0458
NGC 4578 , 7.28 , 0.35 , 2.05 , 0.0414 , 0.0458
NGC 4742 , 7.13 , 0.18 , 2.01 , 0.0414 , 0.0458
NGC 4762 , 7.24 , 0.14 , 2.15 , 0.0414 , 0.0458
NGC 7332 , 7.06 , 0.20 , 2.11 , 0.0414 , 0.0458
NGC 0307 , 8.34 , 0.13 , 2.43 , 0.0414 , 0.0458
NGC 3706 , 8.70 , 0.06 , 2.41 , 0.0414 , 0.0458
