label ,  Mbh   , dMbh_pos, dMbh_neg, Sig, dSig_pos, dSig_neg
A160  , 10.121 , 0.122 , 0.122 , 2.480 , 0.0414 , 0.0458
A240  , 9.964  , 0.123 , 0.123 , 2.412 , 0.0414 , 0.0458
A292  , 10.140 , 0.123 , 0.123 , 2.493 , 0.0414 , 0.0458
A399  , 9.857  , 0.121 , 0.121 , 2.461 , 0.0414 , 0.0458
A592  , 9.934  , 0.121 , 0.121 , 2.445 , 0.0414 , 0.0458
A634  , 9.748  , 0.101 , 0.101 , 2.426 , 0.0414 , 0.0458
A1185 , 10.049 , 0.120 , 0.120 , 2.480 , 0.0414 , 0.0458
A1314 , 9.724  , 0.246 , 0.246 , 2.443 , 0.0414 , 0.0458
A1749 , 10.021 , 0.120 , 0.120 , 2.457 , 0.0414 , 0.0458
A1775 , 10.179 , 0.095 , 0.095 , 2.526 , 0.0414 , 0.0458
A2107 , 10.350 , 0.064 , 0.064 , 2.572 , 0.0414 , 0.0458
A2147 , 10.210 , 0.024 , 0.024 , 2.425 , 0.0414 , 0.0458
A2256 , 10.393 , 0.121 , 0.121 , 2.506 , 0.0414 , 0.0458
A2319 , 9.903  , 0.125 , 0.125 , 2.587 , 0.0414 , 0.0458
A2388 , 9.982  , 0.045 , 0.045 , 2.369 , 0.0414 , 0.0458
A2506 , 9.447  , 0.171 , 0.171 , 2.371 , 0.0414 , 0.0458
